word1,op1,word2,op2,word3,skipgram_ns_word,skipgram_hs_word,cbow_ns_word,cbow_hs_word
means,+,winery,-,talents,hymenium,rzeczypospolitej,generates,becomes
wooden,+,minutiae,-,shakira,tx,slope,concrete,brass
alternating,+,reshef,-,fluctuations,justinian,surtr,tombaugh,izumi
engels,+,veal,-,riparian,repaid,doris,nichols,methyl
interrogating,+,scripts,-,eolian,houchen,manoeuvred,sinha,bunting
subunits,+,welcome,-,skates,align,misunderstand,discard,switched
budd,+,geek,-,hyundai,pizza,coleridge,ylides,celibacy
1587,+,emblems,-,jynx,antiochus,japan,shopkeepers,desperation
abduction,+,daylights,-,natalia,tainted,occupant,magdalen,birthplace
fulfil,+,landscape,-,'oyly,thrive,accelerate,feline,consulship
listing,+,londonderry,-,hoot,premiership,wicklow,posada,chataan
achievements,+,osrd,-,ste,minesweeping,inspirations,rendering,initials
otters,+,longer,-,hindering,toyota,trumpeters,fewer,gharapuri
generosity,+,kamen,-,rbi,armia,bendis,rinzler,hallam
hickman,+,cnidarians,-,isthmus,schiavone,infanticide,mentored,betty
prewar,+,ley,-,saga,thursdays,encourage,recharging,averages
unprofor,+,exacted,-,folios,shears,garrison,gta,sheridan
baan,+,1265,-,topographic,lionheart,eduard,1662,surfacing
purposely,+,interviews,-,softball,grasslands,exchanges,friendships,speer
laredo,+,hapless,-,usurping,dragonlord,kyle,confederations,donations
hydnellum,+,atic,-,laevigatum,demography,nebrius,qed,convoluted
menacing,+,himmler,-,munro,analyze,blurred,everyone,brittle
homelessness,+,seemingly,-,thalberg,adept,resurrect,belligerent,indicating
signified,+,retrospect,-,race,sao,tenderness,resides,patriarchy
tiled,+,grouchy,-,harshly,directorship,stretches,θ,affirmation
majorca,+,linkin,-,disadvantageous,illusions,tarner,laramie,manzanillo
seabirds,+,computation,-,raced,mosaic,exponentiation,cognitive,diphtheria
casablanca,+,michálek,-,kidnapper,truncata,takahashi,oriented,sgt
tyburn,+,diarrhea,-,congeners,newfound,ivo,oivi,pickering
centerfield,+,polarised,-,wolfram,channeling,rehearsing,cladistic,prohibitions
maki,+,cob,-,sonate,afrikaans,kagari,somalia,prevailed
quasi,+,indianapolis,-,affectionate,fuselage,vh,gothenburg,christchurch
directors,+,bricius,-,quichotte,cloak,munsee,snipers,usumacinta
mayhew,+,shenzhen,-,carefully,wa,1088,fir,tucson
dealerships,+,albee,-,kinnear,promo,sobbing,loops,gardening
biddenden,+,motorsports,-,erect,patriarchal,badami,nether,hardwicke
anil,+,conrail,-,jamming,mccarron,leverhulme,plaid,invitational
yoshimi,+,narrate,-,slate,neocurtilla,vachana,welcomes,paralyze
bluemantle,+,songbird,-,filed,boku,hari,lyon,callisto
jynx,+,unhindered,-,kinda,veneto,tønsberg,dassault,porter
aspired,+,097,-,recordings,537,045,intending,319
'connor,+,ranches,-,oseary,harmonic,integument,ransacked,fernandes
overbearing,+,annually,-,cargoes,galloway,athadu,kawai,bhopali
encom,+,thunderbirds,-,pompey,duda,eastenders,fearful,squashes
britten,+,blunders,-,vendors,thacker,brough,russo,pantheon
grin,+,menagerie,-,culverhouse,oxley,abbots,photograph,manoeuvre
sieg,+,stances,-,aviators,desikachar,concolor,vere,hozjan
thunderstorms,+,fujiwhara,-,tiers,predisposed,flash,ferraro,fills
pastry,+,boothstown,-,nature,cuza,bottomed,cattaro,rko
stanza,+,aeronaves,-,taranaki,conveying,alerta,'ordre,weasel
weeks,+,repaired,-,1088,continually,repulsed,cancelled,abandoned
define,+,laramie,-,enjoyment,licked,buena,jose,permit
karjakin,+,clinically,-,fishermen,jools,rewritten,trauma,trofeo
bitter,+,santoshi,-,beiste,initiating,pronominal,normalised,mini
subsisted,+,minimal,-,frenchmen,furiously,measurable,trodden,tethered
horrendous,+,deported,-,crater,purported,pagans,disadvantaged,constantly
teak,+,hellfire,-,meigetsuki,widths,transports,photos,caesium
valiente,+,gnaeus,-,alphonse,snack,tunneling,koshy,prospective
still,+,purring,-,primera,reprint,useless,rarely,certainly
produce,+,knowledgeable,-,wyoming,tending,scavenge,involve,establish
osborne,+,hiker,-,579,proportionally,anka,correspondent,undercarriage
compute,+,bottling,-,hausa,trite,weaken,congratulate,needing
catechisms,+,sociological,-,un,debit,necessities,musicals,inafune
formidable,+,003,-,antioxidant,overcrowding,41,polity,unpalatable
plays,+,counselors,-,65,cabeza,signified,works,threw
zhongshan,+,mcgovern,-,lossiemouth,crawled,teixeira,soundly,diphtheria
arashiro,+,attach,-,beyond,kansai,shaniqua,barranquilla,haywood
nickels,+,parochial,-,authentic,yamashiro,woodford,nyasaland,simulants
paw,+,risking,-,hesitation,nergal,vietnamese,secure,necessarily
sketch,+,forgave,-,sai,complementary,billali,explores,colleague
mean,+,apiece,-,niš,hoang,‑,bronchial,xerxes
perspective,+,steamboats,-,niggers,constitute,metalcore,acetyl,chair
friedman,+,licked,-,seaborg,keystone,flogged,babyfirst,nominees
baptist,+,laid,-,h.w,fran,squeezed,placed,erected
vengi,+,apply,-,alcoholism,horatio,recover,congregate,propel
limantour,+,lawsuits,-,sshws,aquarium,foes,symantec,huang
bandstand,+,anonymity,-,325th,soaked,presenter,ferocity,magnetosphere
skillful,+,electroplating,-,academies,mullet,inuktitut,canteen,apricot
slumped,+,covering,-,puma,thrash,mohave,forcing,builders
'honneur,+,schubert,-,arkansas,shum,'or,légion,swapped
pnt,+,targeting,-,involve,σ,engined,budgetary,inconsolable
felon,+,satan,-,leroy,téa,misunderstanding,dedication,countdown
somerset,+,isosceles,-,31st,massena,shortness,angling,pseudonyms
pratt,+,chairwoman,-,sos,∞,magi,mcdonough,uyghur
cravins,+,richards,-,unfavourably,sibling,clive,jr,demurred
leclerc,+,hasel,-,m249s,railcar,andrzej,pelt,chagrin
shotgun,+,capitalizing,-,maori,fifties,comprehensive,reliance,ballot
cowie,+,paddies,-,cooter,laoka,vitti,dagsboro,tephra
macy,+,salim,-,unavoidable,pear,griffith,adili,sexism
kinsman,+,reinvented,-,outsourcing,mauve,dominicans,pig,bio
delivered,+,repression,-,duopoly,stables,detained,shipped,relieved
jerky,+,dawkins,-,zobel,slanted,chopin,rattlesnake,suede
1576,+,1948,-,winhill,gregor,1991,1896,1896
brewer,+,siraj,-,shodan,reverence,1280,dor,trois
develops,+,wabd,-,z.,narrowing,irwin,blacksmiths,hatches
serrated,+,restigouche,-,hacking,evaporate,potemkin,historically,steamboats
learns,+,aware,-,juniata,necessarily,reminds,reminds,rumours
interviewed,+,retrograde,-,sole,maclaurin,fending,smiled,lyn
frédéric,+,ensued,-,standstill,tara,wail,abdi,div
ɪ,+,paramedics,-,sonia,0900,ח,bolts,freedoms
claudio,+,watten,-,plugs,richie,greenock,percival,jorge
braved,+,notice,-,t1,remission,succumbing,overcame,neurotransmitter
snape,+,valentine,-,activity,kurtzman,mcbride,peter,newham
emo,+,genesis,-,lisbon,hamlin,maxi,tolerable,stuff
basava,+,pf,-,leaning,boku,ambrosio,aretusa,matchless
colourful,+,recur,-,monsters,duckles,simpler,reelected,repeatedly
oxbow,+,stortford,-,1641,inactivation,tablelands,copley,gauntlet
piquet,+,˚,-,reddick,uttering,shillings,bl,disable
woodruff,+,aviv,-,marija,animator,schleck,dogg,concubines
margaret,+,playa,-,reese,terrorists,ø,née,alves
unsigned,+,origen,-,alyeska,fathoms,falco,orange,anniversary
batou,+,bef,-,gleba,boku,tranmere,assyria,sprouting
forcella,+,raycom,-,superiority,mullah,angus,samson,overnight
disgusted,+,resurface,-,yahoo,crispus,constrained,lowered,bequeathed
weeds,+,swiatek,-,vinaceous,acme,coates,limerick,1438
justice,+,saxophonist,-,unbuilt,santiago,paramilitaries,h.,theresa
100th,+,579,-,mutinies,nu,639,441,cronies
shipton,+,protocol,-,comprehensible,callie,ndp,burney,headmaster
hassle,+,uprisings,-,midsection,discreet,ornithischians,1890s,rancher
subg,+,squandering,-,sliding,boku,mhatre,gao,bioactive
stat,+,decomposition,-,vocals,img,voivodeship,ramapo,c.j
hanging,+,politiquerias,-,triceratops,hilly,completions,emerges,extinguisher
271,+,bhp,-,sphagnum,abd,575,58,degrees
kuldahar,+,yarder,-,metagenome,versed,azm,jaffa,tahiti
vittorio,+,severus,-,jeopardised,erection,connie,nicky,roald
longoria,+,fanck,-,kartikeya,eckhardt,herald,danton,iata
fez,+,openers,-,wharton,thee,ostensible,noteworthy,kraftwerk
dash,+,352,-,sabbagh,brathwaite,385,barreled,dearth
sponsoring,+,consummated,-,unaltered,herb,ferryman,lacked,gravitationally
fold,+,jesse,-,branched,admiral,pepper,goldstein,procurator
luongo,+,somalian,-,administrative,unoccupied,contrastingly,¡,crassweller
enthused,+,ominously,-,objections,erzherzog,touched,phloem,d6
clergymen,+,conglomerates,-,animalium,conveying,herds,southerners,yushan
memoranda,+,concrete,-,spins,disrupting,coles,posttraumatic,copious
bas,+,brandt,-,whitlock,insular,malfoy,hendrie,overgrazing
gruff,+,telegram,-,arid,=,carter,ryan,proclamation
harkness,+,miners,-,baba,consultations,aasho,rubenstein,miner
787,+,aum,-,ascended,rother,parodic,counterfeiting,dewy
dampen,+,park,-,chancellery,˩,rignall,absolve,'italia
1226,+,imply,-,ricky,downdrafts,dwell,adheres,raced
mrna,+,justus,-,coats,daylights,˩,beltran,franks
beli,+,starfighter,-,planting,macha,snare,dope,outlining
riggi,+,mandibular,-,occurring,boku,thorndike,burditt,infringed
quorum,+,colloquial,-,carcharhinus,meds,yogin,stunt,worthless
constantly,+,famously,-,clapton,possess,inborn,barely,hired
forwards,+,abdication,-,duets,northamptonshire,disappearance,absence,buster
drew,+,hiryū,-,cossack,fated,positioning,focused,gadolinite
nes,+,institutes,-,mortgage,antilles,philosophical,cine,rheims
inexhaustible,+,keratin,-,tutelage,natura,pasture,nuance,bogs
manipulates,+,phanariote,-,fresco,ballon,donald,preached,enlists
2006gy,+,chapman,-,cleeve,logano,shanks,sara,achieving
zouaves,+,bálint,-,wendell,winnick,pursuers,stride,erdrick
prose,+,12e,-,deliver,wavelength,sax,eusebius,bjaðmunjo
recommend,+,louisbourg,-,navigable,ari,rights,terminate,dictate
remembers,+,forgetting,-,frontiersmen,shelling,rudely,realized,utilises
damages,+,greatfoot,-,tibetan,scavenged,commissioning,disuse,desirability
tibet,+,collectibles,-,koprowski,mccormick,1552,zanzibar,sleepy
sayed,+,tatum,-,sinbad,darwinian,garnier,archimyrmex,avian
clegg,+,akbar,-,threat,soudan,fairbrass,clive,osborni
strode,+,1740s,-,”,ffordd,1820s,participating,throes
dysplasia,+,380,-,partnerships,fsw,676,harare,dolichostyla
team,+,guitarists,-,nere,inhalation,zeppelin,brathwaite,ihl
servicemen,+,steeper,-,mack,roundly,surged,athletes,strewn
emanuel,+,reykjavík,-,annotation,1732,mbe,tel,rmm
feed,+,consultant,-,williamson,suffer,detrimental,hold,focus
perkins,+,schoolhouse,-,booking,864,jérémy,battaglia,reeve
sorcerers,+,yahagi,-,greenberg,biwa,routings,furlongs,rout
presbyterians,+,mortgage,-,continuance,hines,left,punting,outnumbered
defender,+,preschool,-,hova,spinoff,aol,mardi,'toole
kendal,+,todesbanden,-,ecosoc,candida,1275,combating,honda
chairperson,+,passport,-,reubens,reputed,guildhall,snippet,threshold
yaltanack,+,hein,-,catapulted,gmc,oxalate,ryder,threshers
adidas,+,itzá,-,injunction,connotations,khamis,copano,'anse
crane,+,owe,-,nightstick,refitted,seem,urges,becomes
divisions,+,valentin,-,unfounded,paranthodon,kwik,currencies,buoy
cancellation,+,bhagavata,-,majority,pinning,1175,brock,woodpeckers
sheringham,+,andrás,-,broomloan,sonnets,williamson,drinkwater,bragg
weeds,+,overseen,-,degenerate,thy,vacated,intrigued,mastered
chrysanthemum,+,chapels,-,fastest,294,biomolecules,facilitator,utopia
tunbridge,+,stille,-,ungulate,admirable,richards,wentworth,hampton
sanctioning,+,chuckle,-,inconsistency,tout,purports,consultancy,inhibitor
halle,+,stipulates,-,progression,wrench,finschhafen,claiming,668
pittsford,+,acadian,-,picturesque,persecuted,galway,1821,1589
kuldahar,+,jūjutsu,-,amphicoelias,watermills,feingold,brest,sevilla
curricular,+,erin,-,hiffernan,myrtle,knit,socratic,forums
autovista,+,bambaataa,-,irrelevant,toivonen,bing,pigot,vern
institutional,+,bold,-,unplanned,sox,amplification,arcane,fisichella
antonius,+,nuba,-,nonintercourse,josiah,̞,maharaj,extracting
romulans,+,actors,-,alexandrescu,leinster,subgroups,joes,defendants
numerically,+,windermere,-,serotonin,electrified,camp,cvo,tiresias
bodkin,+,homotopic,-,street,nifty,brith,cooley,episcopalians
containing,+,overthrow,-,elizondo,resupply,disrupt,proportionate,apostolic
specialising,+,geese,-,goulian,llewelyn,grains,complicity,salih
ashworth,+,rome,-,vatlestraumen,upstate,taft,jewell,bischoff
lamellerie,+,precipices,-,sternorrhyncha,shaffer,bennington,kyosuke,ticketing
unrecorded,+,levin,-,577,disappointingly,rejects,nearing,dvr
liliaceae,+,subservient,-,weybridge,segregated,practicable,resemblance,spoil
considerable,+,calibrated,-,mycorrhizal,étoile,pledging,sufficient,pietro
300th,+,josipović,-,florentine,flemish,buyer,benfica,doctoral
gresham,+,password,-,breimeier,euclid,fugue,clockwork,bigger
homelessness,+,obligation,-,fps,powerless,pledge,loyalty,catholicism
millions,+,widescreen,-,fantastic,927,apiece,ordnance,shaoxing
dreadnoughts,+,gorari,-,unintelligible,colville,kerch,memorials,corners
treating,+,classes,-,through,hundred,guests,habitation,chastity
inquieto,+,atr,-,miscarriage,gann,oberführer,amiable,yayo
piquet,+,fronts,-,clams,columbian,occasions,branches,pensions
erratic,+,praetor,-,neurons,cather,incompetence,provocateur,walled
wbo,+,kagoshima,-,trofeo,rté,enfield,aen,jeremiah
auctions,+,uvular,-,naegle,lakeside,wan,deficiencies,lived
mach,+,rodrigues,-,bacchus,spectators,sloping,ems,millibars
doha,+,harold,-,wickford,transporter,taro,boucher,uv
covenant,+,iau,-,access,sevenoaks,burney,revd,headshrinkers
cheering,+,shrinks,-,moisture,donchery,ushered,tethered,assigns
forfeit,+,maasai,-,aborigines,sendai,nt,reimburse,remind
xavier,+,admirable,-,glaciated,montcalm,neal,adventurer,restraint
027,+,hanukkah,-,offshore,″,hollaback,peroxwhy,written
commandos,+,occupancy,-,canopies,wavelength,373rd,gilding,prefect
disposal,+,wackett,-,antonio,islets,indomitable,novelties,starkey
bears,+,wwf,-,deluxe,reginald,hinault,hokies,sulfide
elma,+,hissing,-,konstanty,multitude,turbulence,latitude,mutineers
'huez,+,symmetry,-,meningococcal,torrie,spines,mikado,jaguar
1885,+,large,-,goldberg,thickness,climates,small,generating
colborne,+,dettori,-,warblers,rotational,digging,orographic,definitively
ppm,+,absurdity,-,equalling,manzanero,lbs,pencils,outtakes
assessors,+,nearly,-,gamefaqs,864,finishers,persano,kickoffs
dickey,+,koror,-,panel,eschewing,sedge,bordeaux,succeed
scrubs,+,besides,-,britton,airway,organic,unlike,unlike
montrose,+,definite,-,guilford,wrestled,persuasion,faint,seminal
appendicitis,+,corporate,-,hylogyne,charities,lisa,pygmalion,resonances
haider,+,decrypted,-,coordination,boku,newspapers,hao,hydrocarbon
michelena,+,marbury,-,zola,utrecht,diversify,nea,stamkos
hybridise,+,malaysia,-,processors,confesses,nicodemou,1202,gallowmere
immensely,+,pariah,-,sửu,cafe,nostalgic,coliforme,blast
limits,+,anand,-,sedna,weaver,minnesota,divide,environments
lordship,+,conservator,-,manley,aldo,exchequer,incorporation,dialectic
episcopalians,+,motomu,-,crystarium,automatons,seymour,janelle,tureen
rianz,+,rao,-,marina,erich,joaquim,ach,198
protostars,+,unionist,-,bowel,mcdougal,styrofoam,superstructures,tibiae
permitted,+,tubing,-,ruhlmann,henchman,diverted,paid,preclude
injuring,+,scourge,-,balcatta,remo,misgivings,sociedad,octave
brian,+,identically,-,centred,kamui,mulan,jim,pattinson
1806,+,bessin,-,parkway,aleph,111cs,1885,1767
chitinozoans,+,fables,-,velar,avery,lots,descendants,suggestions
introductions,+,strove,-,injuring,vineyard,legislate,haider,farmers
duchies,+,indentured,-,valiente,treacherous,mistreatment,conspiring,dilute
kernels,+,nationalities,-,prosecutor,pastimes,mosques,croplands,invasions
puebla,+,herefordshire,-,huron,overshadow,563,tarnovo,blizzard
cantonment,+,specimens,-,sitwell,asymmetric,arrays,capacities,component
enthralled,+,liverworts,-,stempel,ayrshire,sterile,shaken,arrogant
damages,+,cranborne,-,reviewers,chengguan,vnukovo,christiana,rosyth
ultratip,+,industrialists,-,wrap,erzherzog,broadheath,imprisoning,lerma
brookshier,+,duirinish,-,sensations,conurbation,charterhouse,cobi,argyll
caracalla,+,teepee,-,smoked,boku,ire,plato,earldom
balk,+,ashcroft,-,varies,mccully,gillson,nicholson,amnesiac
obscures,+,pedestrianised,-,bottomed,terracing,tora,signifies,roughing
paris,+,miner,-,internationals,posterior,aegyptiaca,crucible,rooted
727,+,regenerate,-,komintern,souvenirs,snot,translate,knoxville
lucid,+,passover,-,improvements,hamurabi,postcard,te,tenths
ctr,+,intermediate,-,lustful,tribble,exoperidium,lowest,garrison
duffy,+,undertail,-,trackers,decatur,railton,katz,hoffmann
nematodes,+,corset,-,indenture,dags,brassy,picket,informers
finial,+,victorino,-,systematically,examiners,corrector,conservationist,palisade
laced,+,menagerie,-,isagoras,mutalibov,presidium,midtempo,yeomen
sympathy,+,omnivore,-,maltese,stagnation,unusually,admiration,companionship
hermaphroditus,+,pyotr,-,wattlebird,forelimbs,whately,rogan,wentz
breweries,+,mechanics,-,limp,arlene,models,outlets,ghosh
biblical,+,kakai,-,1370,textbooks,claret,maccabi,jon
erika,+,gui,-,antsirabe,wa,kazimierz,mis,stewart
connelly,+,mirren,-,landon,inflicting,lambasted,657,191
ponytail,+,dressed,-,socialise,emphasizing,a.k.a,tremor,lively
bcci,+,makira,-,530,knelt,antebellum,wildlife,sitcom
innis,+,checkpoints,-,assassination,rationale,menken,unhappily,bono
sil,+,blasters,-,without,contra,genji,shimomura,gaillard
derive,+,morels,-,shinji,rhymes,originate,choose,wander
closeness,+,suing,-,fundamentalist,despecialized,cardassians,extinction,notified
1939,+,marginalized,-,inciting,apoel,incensed,1941,1996
refreshments,+,camera,-,accordance,antechamber,theoretically,profusely,reflecting
phoebe,+,gaffe,-,sightings,markinch,glitch,hairdresser,gazebo
keiko,+,hatching,-,midway,fridge,iha,berries,balding
calibur,+,mb,-,monsignor,meteorology,uummannaq,mg,cards
routings,+,flatter,-,neutralised,boku,chemicals,supplies,amounts
classed,+,1011,-,inns,burlesques,676,bx,republike
fridtjof,+,radiant,-,yokohama,lei,baffled,janetti,denotes
caxton,+,funnel,-,951,völuspá,ctw,keel,spaniard
landscaping,+,impractical,-,christakis,accusation,beneficial,armorial,nonpartisan
stew,+,ohm,-,rzeczypospolitej,nominating,002,figs,sieges
revisiting,+,frithjof,-,disadvantages,withering,celia,alain,beginner
1819,+,abagnale,-,mutis,mar,1928,soulcalibur,booth
beaubien,+,entwistle,-,luttrell,swissair,choate,gibbs,engined
mating,+,dara,-,cohorts,authorization,1597,hulme,foxhound
monologue,+,339,-,ro,sk,annum,pounding,6s
circular,+,northeasterly,-,welded,cruised,winton,bubble,stray
u1,+,payroll,-,newlands,hanson,ships,demarcate,olympiad
nothing,+,barbeyella,-,semilanceata,torquay,spidy,humanity,afraid
mohareb,+,correctness,-,christmastime,insulated,wrangling,juries,intestines
horseman,+,hemorrhoid,-,shediac,blooded,heartbreaker,platypus,supercell
affable,+,synoptic,-,grievance,pyotr,xy,matchmaking,northridge
ragnaill,+,access,-,1195,relevance,extend,tighten,tend
archival,+,admit,-,pastry,expel,rejects,discuss,stabilise
general,+,bohemians,-,litigation,gestation,im,dred,furman
hairline,+,theorists,-,bolting,alford,comedians,neutrino,pending
gaffney,+,sawston,-,spouses,haridasas,icebreaker,1522,rené
purports,+,jodhpur,-,ittf,riverine,repent,balestre,accomplishment
canning,+,theorems,-,hiryū,konami,mom,ginga,1336
wilmington,+,lento,-,bedding,capping,brevard,bridgetown,excess
coup,+,oneself,-,labrador,ivor,reaction,ridha,committing
bannerman,+,pickard,-,postural,bennie,dreyfus,popmatters,cornet
ultimania,+,clifton,-,rationalist,sm,llanilltern,corpus,rouge
kawkawlin,+,camaraderie,-,spitalfields,balladeer,hubbardton,sparta,divert
maeonius,+,eau,-,optimize,federated,dagobert,insurgents,disciplined
restless,+,binh,-,greenwood,neonatal,geologic,tidal,headgear
base,+,burj,-,virgin,1524,transcriptional,coaster,suffragette
a8,+,establishments,-,k.r.i.t,pathways,bezel,imperfections,outskirts
catesby,+,circumnavigating,-,a.d.,fumigation,worthen,ignored,consummated
cob,+,asthma,-,jovial,cpe,zanla,ortona,antarctica
hasten,+,aldean,-,culminates,w.f,inviting,fannin,galleries
incompetence,+,perplexed,-,challenger,maltin,stalking,insubordination,roe
ridicules,+,j.h,-,crawford,fordyce,emphasizes,besides,devising
stallion,+,madagascar,-,gilding,disillusioned,denies,porch,hole
propel,+,snares,-,marck,cathedrals,attach,defy,pertaining
ew,+,metaphorical,-,congeners,693,sak,stouck,receipts
pardoned,+,unethical,-,unexpectedly,đorđević,moskowitz,selected,mockery
subsp,+,feng,-,hsls,hypothermia,ich,obergruppenführer,b.
bofors,+,experiments,-,reactions,dino,howitzers,poacher,interview
sheltering,+,nothofagus,-,vickers,selznick,geastrum,kanfanar,exoperidium
dot,+,bungie,-,ms,quarrel,clarke,magadheera,ceratosaurus
ccf,+,jainism,-,geese,professionalism,topography,languedoc,palouse
regionally,+,echmarcach,-,1695,illiterate,significant,rainbands,transatlantic
pinkerton,+,beliefs,-,fluctuating,booty,lenin,ancestry,divorce
1203,+,maugham,-,arboreal,paraphrases,tata,cremona,assays
piazzi,+,fait,-,prevented,jiawei,jelly,hunicke,annex
a.k.a,+,shrunk,-,copernican,underline,ernie,pizza,artie
na,+,tonnage,-,şi,repatriation,aren,myra,lytle
walternate,+,rubi,-,olden,158,breasted,tapestries,exclaim
750,+,listings,-,french,vs.,listing,277,600
cerebralis,+,pillar,-,gracefully,primaries,minutissima,corpus,marmara
lalich,+,d3as,-,priceless,multipurpose,albacores,xix,istria
vc,+,freshly,-,bargaining,firepower,konakis,aerosols,vermilion
gazebo,+,payroll,-,nandi,greenlandic,rotor,dios,karyotype
chiapas,+,excite,-,adonis,judging,pescara,mitigate,overture
comprises,+,defender,-,964,judiciary,mainline,dedicates,operates
transform,+,insofar,-,installments,accreted,unwelcome,betrothed,apt
rotary,+,executes,-,stepped,xxx,z,sportsman,cabaret
unpainted,+,kitsu,-,dismantling,widowhood,hannon,spike,chivalry
brewers,+,1660s,-,volatile,abutment,challengers,commodores,blueprints
torbay,+,webster,-,merced,chevy,rivington,narcotics,mauna
waned,+,sensitive,-,arm,gilded,watchdog,easiest,referred
